Name,ISIN,Ticker,Morningstar Fair Value Status,Morningstar Rating Overall,Price/Fair Value,Morningstar Fair Value Per Share,Fair Value Uncertainty,Consider Buying,Consider Selling,Economic Moat,Business Risk Pillar,Moat Trend,Morningstar Credit Rating,Moat Source - Cost Advantage,Moat Source - Efficient Scale,Moat Source - Intangible Assets,Moat Source - Network Effect,Moat Source - Switch Cost,Quantitative Fair Value Estimate Base Currency,Quantitative Valuation,Quantitative Valuation Score,Quantitative Valuation Uncertainty,Quantitative Valuation Uncertainty Score,Quantitative Financial Health,Quantitative Financial Health Score,Quantitative Moat,Quantitative Moat Score,Payout Ratio TTM,Div Growth % 1 Yr (FY 1),Div Growth % 3 Yr (FY 1),Div Growth % 5 Yr (FY 1),Div Growth % 10 Yr (FY 1),Dividend Yield % TTM,Market Cap (mil) (Daily) Base Currency,Equity Style Box (Long),Daily Closing Price 2021-06-16 Base Currency,Return (Day to Day) 2021-05-17 to 2021-06-16 Base Currency,Price 52 Wk High Base Currency,Price 52 Wk Low Base Currency,Beta 3 Yr (Mo-End),Beta 5 Yr (Mo-End),EBT Margin % 1 Yr - FY1,ROIC (TTM),Rev Growth % 1 Yr (FY 1),Rev Growth % 3 Yr (FY 1),Rev Growth % 5 Yr (FY 1),FCF Growth % 1 Yr - FY1,FCF Growth % 3 Yr - FY1,CFO Growth % 3 Yr - FY1,Book Value per Share Growth % 3 Yr,Financial Health Grade,P/E Ratio (TTM) (Long),P/E Ratio 5 Yr Avg,PEG Ratio,Earnings Yield % TTM,Sector,Industry,GICS Sector,GICS Industry,GICS Sub-Industry,SecId,Company Id,Exchange Country,Ticker,ROIC % (TTM),ROIC % FY 1,ROIC % 1 Yr Year2008,ROIC % 1 Yr Year2009,ROIC % 1 Yr Year2010,ROIC % 1 Yr Year2011,ROIC % 1 Yr Year2012,ROIC % 1 Yr Year2013,ROIC % 1 Yr Year2014,ROIC % 1 Yr Year2015,ROIC % 1 Yr Year2016,ROIC % 1 Yr Year2017,Return on Equity TTM 2021-05,ROE % FY 1,ROE % FY 2,ROE % FY 3,ROE % FY 4,ROE % FY 5,ROE % FY 6,ROE % FY 7,ROE % FY 8,ROE % FY 9,ROE % FY 10,Probability of Default,Sustainalytics Rating Date,Sustainalytics Peer Group Name,Sustainalytics ESG Risk Classification,Sustainalytics ESG Risk Score,ESG Risk Rating Assessment,Notable Material ESG Issue 1,Notable Material ESG Issue 2,Notable Material ESG Issue 3,ESG Risk Exposure Score,ESG Risk Managed Score,Sustainalytics Environmental Risk Score,Sustainalytics Social Risk Score,Sustainalytics Governance Risk Score,Company Controversy Level Descriptor,Company Highest Controversy Level,Company Highest Controversy Topics,,,
Ensign Energy Services Inc,CA2935701078,ESI,,,,,,,,,,,,,,,,,2.91,Undervalued,1.39,Extreme,0.92,Weak,0.16,None,0.10,0.00,-85.71,-50.00,-34.02,-16.35,,341.13,Small Value,2.10,101.92,2.38,0.45,3.10,2.99,-12.87,-1.17,-41.13,-2.17,-7.60,-26.81,158.54,22.26,-7.84,C,,9.23,,-24.15,Energy,Oil & Gas Drilling,Energy,,,0P00005ROV,0C00000IH2,Canada,ESI,-1.17,-0.01,16.97,7.39,7.05,9.66,9.67,5.62,3.30,-2.94,-4.60,-0.30,-6.65,-5.61,-10.24,3.42,-2.14,-7.68,-5.04,3.55,6.75,12.15,12.98,0.04,5/8/2021,Oil & Gas Drilling,High,32.06,2,,,,44.72,12.66,,,,Low,1,Yes,,,
First National Financial Corp,CA33564P1036,FN,,,,,,,,,,,,,,,,,49.45,Fairly Valued,1.00,Very High,0.38,Strong,0.94,Narrow,0.99,0.50,3.49,2.67,5.54,2.79,4.15,"2,971.39",Mid Blend,49.55,-3.67,53.25,27.07,1.30,1.29,56.26,,12.95,1.70,10.15,,,,2.02,D,13.09,10.92,,8.15,Financial Services,Mortgage Finance,Financials,,,0P0000830K,0C00000POG,Canada,FN,,,,,,,,,,,,,52.86,39.97,38.74,37.13,47.16,52.25,31.89,31.18,62.02,50.23,30.79,0.26,5/8/2021,Thrifts and Mortgages,Medium,24.65,3,,,,42.00,17.35,,,,None,0,,,,
Bank of New York Mellon Corp,US0640581007,BK,Active,3,1.07,48.00,Medium,33.60,64.80,Wide,,Negative,,Yes,No,No,No,Yes,57.10,Undervalued,1.11,High,0.28,Strong,0.90,None,0.24,0.33,5.08,12.97,12.77,13.16,2.42,"44,850.88",Large Value,51.23,-1.06,52.90,32.65,1.13,1.09,28.81,,-4.11,0.31,0.92,,3.22,2.58,7.74,D,13.89,12.82,1.77,7.32,Financial Services,Asset Management,Financials,,,0P000000PH,0C000006UA,United States,BK,,,,,,,,,,,,,8.54,8.63,11.34,10.88,10.61,9.53,8.44,6.83,5.11,6.95,7.54,0.20,5/8/2021,Asset Management and Custody Services,Medium,22.67,3,Product Governance,ESG Integration - Financials,Business Ethics,48.50,25.83,1.97,9.83,10.87,Significant,3,Yes,,,
Bombardier Inc,CA0977512007,BBD.B,,,,,,,,None,,,,,,,,,0.97,Overvalued,0.91,Very High,0.47,Moderate,0.23,None,0.67,0.00,-6.29,-0.51,,,,"2,672.26",Mid Value,1.07,22.99,1.10,0.26,3.21,2.97,-1.87,,-13.37,-26.29,-18.62,,,,24.67,F,,15.38,,-6.83,Industrials,Aerospace & Defense,Industrials,,,0P00005RNY,0C00000ICA,Canada,BBD.B,,,3.95,16.79,12.29,12.86,7.79,7.24,-15.79,,,,,,,,,,,-145.10,36.15,83.53,,0.65,5/8/2021,Aerospace and Defence,High,31.64,2,Product Governance,Business Ethics,Carbon - Products and Services,59.45,27.81,4.33,18.83,8.49,Significant,3,Yes,,,
Ovintiv Inc,US69047Q1022,OVV,Active,2,1.39,28.00,Very High,14.00,49.00,None,,Stable,,No,No,No,No,No,33.07,Overvalued,0.85,High,0.24,Moderate,0.26,None,0.04,,0.00,7.72,-23.16,-21.08,1.23,"10,154.60",Mid Value,38.90,23.36,39.23,9.07,4.48,4.46,-94.14,-40.14,-9.50,11.06,6.60,-46.10,,21.75,-24.68,C,,25.47,,-74.97,Energy,Oil & Gas E&P,Energy,,,0P00007KTF,0C000007FG,Canada,OVV,-40.14,-38.82,19.05,7.96,9.50,0.02,-17.06,1.61,20.22,-32.09,-7.52,6.72,-86.69,-88.57,2.69,15.08,12.87,-15.36,-65.17,45.74,4.52,-40.28,0.04,0.00,5/8/2021,Oil & Gas Exploration and Production,High,36.99,2,,,,74.55,37.56,,,,Moderate,2,Yes,,,
Bank of Nova Scotia,CA0641491075,BNS,Active,3,1.06,77.00,Medium,53.90,103.95,Narrow,,Stable,,Yes,No,No,No,Yes,98.75,Undervalued,1.21,Very High,0.52,Strong,0.96,Narrow,0.97,0.58,3.15,5.68,5.77,6.27,4.39,"99,475.50",Large Blend,81.95,2.75,82.11,53.54,0.87,0.86,27.00,,2.34,5.15,5.63,,49.93,50.62,3.89,B,15.27,11.27,,7.57,Financial Services,Banks - Diversified,Financials,,,0P000067YY,0C000006UB,Canada,BNS,,,,,,,,,,,,,10.38,10.41,13.17,14.35,14.57,13.73,14.67,16.25,16.34,19.39,20.65,0.10,5/8/2021,Diversified Banks,Medium,20.42,3,Product Governance,Business Ethics,Data Privacy and Security,43.70,23.28,1.45,9.59,9.38,Significant,3,Yes,,,
Peyto Exploration & Development Corp,CA7170461064,PEY,Under Review,,,,Extreme,,,None,,Stable,,No,No,No,No,No,8.70,Undervalued,1.20,Very High,0.60,Moderate,0.34,None,0.01,0.10,-62.50,-59.15,-41.56,-24.21,0.55,"1,195.10",Small Value,7.24,25.26,7.45,1.63,2.41,2.34,-11.08,4.22,-14.84,-17.14,-8.07,,,-27.61,-0.90,C,13.69,19.34,,5.80,Energy,Oil & Gas E&P,Energy,,,0P000080HX,0C00000PMM,Canada,PEY,4.22,0.41,19.70,15.68,19.12,10.79,6.86,8.59,12.63,6.19,5.34,7.49,4.23,-2.10,7.87,7.59,10.82,7.10,8.66,19.02,11.83,8.44,13.78,0.00,5/8/2021,Oil & Gas Exploration and Production,Severe,53.58,1,,,,74.55,20.97,,,,None,0,,,,
Goldman Sachs Group Inc,US38141G1040,GS,Active,2,1.19,313.00,High,187.80,485.15,Narrow,,Stable,,No,No,Yes,Yes,No,438.07,Undervalued,1.18,Very High,0.44,Strong,0.92,None,0.64,0.12,20.48,19.91,14.42,13.58,1.35,"126,051.77",Large Value,371.00,0.94,393.26,185.52,1.51,1.49,28.01,,21.99,14.43,7.38,,,,9.45,D,9.25,13.90,3.25,10.84,Financial Services,Capital Markets,Financials,,,0P000002H5,0C000007XH,United States,GS,,,,,,,,,,,,,17.10,10.89,9.99,13.20,5.05,9.37,7.47,11.15,10.98,10.66,3.65,0.23,5/8/2021,Investment Banking and Brokerage,Medium,27.66,3,Product Governance,Business Ethics,ESG Integration - Financials,50.00,21.88,1.00,14.17,12.96,Significant,3,Yes,,,
DXC Technology Co,US23355L1061,DXC,,,,,,,,None,,,,,,,,,42.26,Fairly Valued,1.03,Medium,0.13,Moderate,0.44,None,0.18,0.00,,,,,,"10,439.44",Mid Value,40.97,11.15,41.75,14.73,2.68,2.44,,0.06,-9.44,-6.56,20.06,,,-63.58,-25.51,C,,40.82,,-1.44,Technology,Information Technology Services,Information Technology,,,0P000001FM,0C00000AOR,United States,DXC,0.06,0.06,8.02,13.46,10.03,8.29,-6.58,15.43,16.28,1.07,5.97,-1.55,-39.52,-3.05,-66.34,10.10,22.78,-6.29,10.12,0.06,26.88,25.71,-11.98,0.01,5/8/2021,IT Consulting,Low,13.92,4,Human Capital,Data Privacy and Security,Business Ethics,34.05,20.13,1.16,7.16,5.61,Moderate,2,Yes,,,
Hudbay Minerals Inc,CA4436281022,HBM,,,,,,,,,,,,,,,,,8.62,Undervalued,1.09,Very High,0.37,Moderate,0.33,None,0.01,,-2.61,-1.59,-0.85,-17.19,0.25,"2,075.68",Mid Blend,7.94,-18.81,11.62,3.72,2.02,1.98,-16.39,-2.17,-11.72,-7.99,4.28,,,-23.72,-6.99,C,,53.24,,-7.52,Basic Materials,Copper,Materials,,,0P00005S2O,0C00000IK2,Canada,HBM,-2.17,-2.63,3.63,7.16,1.36,-9.24,-1.07,-4.32,2.43,-9.19,2.27,6.51,-7.48,-8.15,-17.08,3.98,7.21,-1.98,-17.01,3.58,-5.95,-1.24,-9.03,0.02,5/8/2021,Diversified Metals Mining,Medium,28.97,3,Resource Use,Community Relations,"Emissions, Effluents and Waste",66.70,37.73,14.03,8.84,6.09,Significant,3,Yes,,,
Prudential Financial Inc,US7443201022,PRU,Active,2,1.28,82.00,High,49.20,127.10,None,,Stable,,No,No,No,No,No,100.70,Fairly Valued,0.96,High,0.19,Moderate,0.55,None,0.00,0.67,10.00,13.62,12.52,14.36,4.28,"41,433.04",Large Value,105.16,-1.28,109.17,57.11,1.72,1.71,-0.57,,-12.00,-1.51,-0.03,-57.36,-14.65,-14.65,9.84,D,16.01,8.61,2.81,6.35,Financial Services,Insurance - Life,Financials,,,0P000004I3,0C000008MS,United States,PRU,,,,,,,,,,,,,4.50,-0.61,7.41,7.83,15.52,9.84,13.36,3.84,-1.97,1.31,10.29,0.16,5/8/2021,Life and Health Insurance,Low,17.44,4,Product Governance,Data Privacy and Security,ESG Integration - Financials,41.30,23.86,1.05,7.33,9.06,Moderate,2,Yes,,,
Principal Financial Group Inc,US74251V1026,PFG,,,,,,,,Narrow,,,,,,,,,64.79,Fairly Valued,1.00,Medium,0.12,Moderate,0.60,None,0.04,0.38,2.75,6.20,8.35,15.08,3.55,"17,542.08",Mid Value,64.49,-2.60,67.97,37.03,1.72,1.64,11.49,,-9.13,1.51,4.26,-32.29,-3.37,-3.71,10.87,D,11.12,10.34,,9.12,Financial Services,Insurance - Diversified,Financials,,,0P000004GI,0C000008LC,United States,PFG,,,,,,,,,,,,,11.47,8.95,10.72,12.76,20.02,13.48,12.41,11.18,9.08,8.27,6.46,0.22,5/8/2021,Life and Health Insurance,Medium,20.24,3,Product Governance,Data Privacy and Security,ESG Integration - Financials,37.45,17.21,2.11,7.63,10.50,Low,1,Yes,,,
Baytex Energy Corp,CA07317Q1054,BTE,,,,,,,,Narrow,,,,,,,,,1.99,Overvalued,0.89,High,0.28,Moderate,0.22,None,0.16,0.00,,,,,,"1,257.97",Small Value,2.23,28.90,2.28,0.39,3.84,3.72,-266.47,3.53,-45.98,-3.92,-2.75,-74.69,,2.78,-49.78,C,40.00,61.58,,2.24,Energy,Oil & Gas E&P,Energy,,,0P000080FA,0C00000MJI,Canada,BTE,3.53,-65.28,24.20,7.92,18.83,15.00,15.57,10.27,-2.17,-24.06,-10.47,4.39,4.11,-138.36,-0.42,-13.09,4.48,-22.09,-46.45,-7.01,12.77,20.64,18.76,0.00,5/8/2021,Oil & Gas Exploration and Production,Severe,40.48,1,,,,74.55,34.07,,,,None,0,,,,
New Gold Inc,CA6445351068,NGD,,,,,,,,,,,,,,,,,2.67,Fairly Valued,1.04,Very High,0.36,Moderate,0.39,None,0.20,0.00,,,,,,"1,749.40",Small Value,2.57,16.29,3.05,1.44,1.89,1.85,-11.66,-0.63,2.03,18.29,-2.03,3.92,,-4.85,-32.04,C,,118.25,,-2.85,Basic Materials,Gold,Materials,,,0P0000685P,0C00000BSU,Canada,NGD,-0.63,-2.93,-8.85,-10.77,2.52,8.33,6.81,-4.42,-13.71,-5.98,-0.13,-3.37,-4.04,-9.06,-7.71,-80.40,-5.13,-0.34,-9.22,-19.12,-7.09,8.03,9.41,0.01,5/8/2021,Gold,High,36.79,2,Occupational Health and Safety,"Emissions, Effluents and Waste",Community Relations,69.80,33.01,16.92,13.68,6.18,Moderate,2,Yes,,,
Alliance Data Systems Corp,US0185811082,ADS,Active,2,1.46,79.00,Very High,39.50,138.25,None,,Negative,,No,No,No,No,No,94.56,Overvalued,0.82,High,0.23,Moderate,0.26,None,0.17,0.07,-50.00,-15.39,,,0.73,"5,737.11",Small Value,115.38,-4.33,128.16,38.88,2.68,2.63,8.73,3.19,-18.99,-6.18,-6.83,70.05,-8.33,-10.19,-2.95,D,10.74,16.98,0.65,9.77,Financial Services,Credit Services,Information Technology,,,0P0000009B,0C000009CM,United States,ADS,3.19,0.96,9.84,7.02,9.81,14.83,8.55,6.30,4.90,4.36,3.12,5.10,32.95,13.74,13.69,46.00,44.90,23.57,25.03,30.23,71.69,119.88,316.77,0.06,5/8/2021,Data Processing,Low,17.60,4,Data Privacy and Security,Human Capital,Business Ethics,30.00,12.40,0.12,11.80,5.68,Low,1,Yes,,,
The Toronto-Dominion Bank,CA8911605092,TD,Active,3,1.03,85.00,Medium,59.50,114.75,Wide,,Stable,,Yes,No,No,No,Yes,105.35,Undervalued,1.20,Very High,0.53,Strong,0.96,Narrow,0.98,0.41,7.61,9.79,9.23,9.81,3.60,"159,754.61",Large Blend,87.84,0.13,89.12,57.44,0.90,0.89,27.53,,6.27,6.50,6.88,,107.65,107.01,9.49,A,11.18,12.54,,8.85,Financial Services,Banks - Diversified,Financials,,,0P00006899,0C00000COO,Canada,TD,,,,,,,,,,,,,15.92,13.54,14.64,15.40,14.83,13.26,13.56,15.43,13.97,14.80,15.55,0.04,5/8/2021,Diversified Banks,Low,19.42,4,Product Governance,Data Privacy and Security,ESG Integration - Financials,43.90,24.81,1.17,10.44,7.48,Significant,3,Yes,,,
National Bank of Canada,CA6330671034,NA,Active,3,1.00,93.00,Medium,65.10,125.55,Narrow,,Stable,,Yes,No,No,No,Yes,110.06,Undervalued,1.18,Very High,0.52,Strong,0.96,Narrow,0.93,0.38,6.77,7.60,6.84,8.64,3.06,"31,358.27",Large Blend,92.93,1.50,98.03,59.34,1.13,1.10,32.12,,6.73,6.30,6.66,150.32,149.53,135.96,9.58,B,12.80,11.55,,7.98,Financial Services,Banks - Diversified,Financials,,,0P00005ROH,0C00000I86,Canada,NA,,,,,,,,,,,,,17.53,14.65,17.94,18.36,18.24,11.65,16.70,17.89,20.21,24.93,20.54,0.32,5/8/2021,Diversified Banks,Low,19.86,4,Data Privacy and Security,ESG Integration - Financials,Product Governance,41.70,21.84,1.54,9.58,8.74,Moderate,2,Yes,,,
Power Corporation of Canada,CA7392391016,POW,Active,3,1.03,38.50,High,23.10,59.68,None,,Stable,,No,No,No,No,No,40.26,Fairly Valued,1.01,Low,0.08,Strong,0.70,None,0.05,0.51,37.45,15.88,12.40,6.59,4.50,"26,780.26",Large Value,39.79,6.05,40.19,23.02,1.04,1.05,5.59,,32.30,7.95,11.05,52.56,13.59,13.59,2.20,F,11.12,10.74,,8.90,Financial Services,Insurance - Life,Financials,,,0P00005ROI,0C00000IGQ,Canada,POW,,,,,,,,,,,,,11.51,11.57,8.10,9.26,9.69,8.35,14.87,12.14,10.50,9.24,12.15,0.74,5/8/2021,Multi-Sector Holdings,Low,11.91,4,Human Capital,ESG Integration - Financials,Business Ethics,21.80,9.89,1.14,3.41,7.35,Low,1,Yes,,,
